GRAVE	01-essencial/03-ganhos-e-gastos.xlsx; 02-completo/03-ganhos-e-gastos.xlsx	Painel!A5:G5	As somas ignoram Pago?: setembro dá 6.670 − (4.173,90 + 362 não pagos) = R$ 2.134,10, quando o caixa do mês é R$ 2.496,10; saldo acumulado dá R$ 8.624,30 em vez de R$ 8.986,30	O cliente toma decisão com saldo incorreto	Acrescentar Pago? = Sim aos totais de caixa e separar previsão de realizado
MÉDIO	53 arquivos, discriminados no inventário de validação	Validação!274 regras	146 validações têm showErrorMessage=False, sendo 79 listas, 35 datas, 27 decimais e 5 inteiros	Campos que parecem validados aceitam entradas fora da regra; parte deles alimenta comparações exatas e cálculos	Ativar bloqueio nos campos obrigatoriamente restritos; manter texto livre apenas onde intencional e retirar a aparência de restrição
MÉDIO	19 arquivos, discriminados no inventário de formatação	Formatação condicional!120 regras	Há referências diretas a outra aba nas fórmulas de formatação condicional, inclusive 43 regras no painel jurídico e 46 no médico	O Google Planilhas exige INDIRECT para esse tipo de referência; a conversão visual não foi validada	Usar auxiliares na mesma aba ou adaptar a regra para Sheets e conferir os semáforos após importar
MÉDIO	01-essencial/02-relatorio-mensal-pronto.xlsx; 02-completo/02-relatorio-mensal-pronto.xlsx	Painel!B5:C16,E5:E16,H5:H16	Quatro regras no total dependem de formato numérico condicional, recurso que a formatação condicional do Google Planilhas não oferece	Moeda e precisão por indicador podem mudar ao converter	Aplicar formato numérico normal por linha ou criar apresentação equivalente sem numFmt condicional
MÉDIO	03-advogados/16-horas-por-caso.xlsx	Painel!F23:F32	A regra de ocupação das pessoas invade F32, que contém horas gastas do primeiro caso, 16 h no exemplo	A célula recebe alerta de ocupação acima de 110% embora seu conteúdo seja horas	Terminar a regra no quadro de pessoas e deslocar os quadros para que não se sobreponham
MÉDIO	04-medicos/07-simulador-convenio-x-particular.xlsx	Simulador!G31:G36	LEFT(...,20) compara com texto de 19 caracteres e LEFT(...,16) com texto de 15	Os sinais amarelo e verde dessas leituras nunca são aplicados	Usar LEN do texto comparado ou uma coluna com situação codificada
MÉDIO	04-medicos/19-metas-do-trimestre.xlsx	Metas!E7:K7	A meta Menor é melhor parte de zero e tem alvo oito; sair de zero para oito é apresentado como 100% de progresso	A piora da fila de retorno vira sucesso no semáforo	Tratar oito como teto de manutenção e considerar valores <= oito atendidos, ou definir partida maior que a meta para uma redução
MÉDIO	04-medicos/17-painel-da-clinica.xlsx	Dados!F5:F19	Igualar exatamente a meta recebe Perto, enquanto outros painéis do kit consideram igualdade No alvo ou Atingido	O mesmo cumprimento tem cores e nomes contraditórios	Padronizar >= para Maior é melhor e <= para Menor é melhor, mantendo a faixa de atenção só fora da meta
GRAVE	01-essencial/02-relatorio-mensal-pronto.xlsx; 01-essencial/03-ganhos-e-gastos.xlsx; cópias no 02-completo	Config!B4; Indicadores!N5	O relatório usa Prisma Comunicação e receita de setembro de R$ 131.200; o caixa usa Rafa Design e R$ 6.670	Os primeiros três arquivos não contam uma história única; o Completo ainda promete explicitamente o mesmo exemplo Prisma	Unificar empresa, mês e base de lançamentos; na ausência de convenções e números dos kits 01/02, apliquei a regra dos kits 03/04 conforme solicitado
GRAVE	02-completo/07-orcamento-previsto-x-realizado.xlsx; 02-completo/02-relatorio-mensal-pronto.xlsx	Painel!C5,G5; Indicadores!N5:N6	Setembro da Prisma tem receita realizada R$ 95.559,34 e despesa R$ 81.387,49 no orçamento, contra R$ 131.200 e R$ 89.800 no relatório	A mesma empresa e o mesmo mês apresentam totais incompatíveis	Gerar os exemplos a partir dos mesmos lançamentos ou identificar e justificar recortes distintos
MÉDIO	02-completo/09-horas-e-custo-por-projeto.xlsx; 02-completo/04-projetos-e-prazos.xlsx	Config!E27; Etapas!F24:G24	Identidade visual da Padaria do Sol está Concluído na 09, mas a etapa final está em 80% e atrasada na 04	Os arquivos dão orientações operacionais contraditórias para o mesmo projeto	Sincronizar status e data-base dos exemplos
GRAVE	03-advogados/14-parcelas-e-inadimplencia.xlsx; 03-advogados/13-carteira-de-clientes-e-casos.xlsx	Casos!D40:J40; Parcelas!E150:E154; Casos!H40:J40 na 13	Fernanda Castro contratou e pagou R$ 7.000 na carteira, mas o cronograma soma 2.800 + 4 × 1.400 = R$ 8.400 e manda cobrar mais R$ 1.400	O exemplo cobra dívida inexistente se o contrato de R$ 7.000 for a fonte correta; os documentos de números também reproduzem a inconsistência	Confirmar o contrato-fonte e reconciliar parcelas, carteira, caixa, inadimplência e referências
GRAVE	03-advogados/20-resumo-do-mes.xlsx	Resumo!A6	O texto afirma quatro propostas convertidas em agosto, mas enumera três de agosto e uma Construtora que entrou em julho	O relatório pronto entrega contagem e mês errados	Usar três em agosto e retirar a conversão de julho desse total, gerando a frase da mesma base
GRAVE	03-advogados/12-reserva-e-metas-de-caixa.xlsx	Como usar!B10; Painel!G7	A instrução usa caixa livre R$ 26.062 e cobertura 2,1 meses; os dados atuais são 43.683 − 15.402 = R$ 28.281 e (12.000 + 28.281) ÷ 18.500 = 2,2 meses arredondados	O mesmo exemplo mostra totais diferentes entre instrução e painel	Gerar o texto a partir do valor vigente ou remover números fixos da instrução
GRAVE	04-medicos/12-reserva-e-metas-de-caixa.xlsx	Config!D13,B14	O texto informa julho R$ 31.591, mas a entrada usada na meta é R$ 31.697	O exemplo não fecha e o leitor que seguir a instrução reproduz outra meta de reserva	Corrigir para R$ 31.697 e gerar a nota da fonte única
MÉDIO	04-medicos/01-agenda-e-ocupacao.xlsx; 04-medicos/17-painel-da-clinica.xlsx	Config!B8:B9; Painel!E5 na 01; Dados!B5 na 17	Em 14/09 a ocupação é 51,8333 ÷ 64 = 81,0%; em 17/09 o recálculo usa 88 h e dá 58,9%, enquanto a cópia do painel geral continua 81,0%	O painel 17 declara a fotografia de 11/09, enquanto a 01 recalcula a capacidade até ontem; o leitor compara datas-base diferentes	Usar data-base explícita e coerente nas cópias do exemplo ou regenerar todos os arquivos para a mesma referência
MÉDIO	01-essencial/02-relatorio-mensal-pronto.xlsx; cópia no 02; 02-completo/06-metas-do-trimestre.xlsx; 03-advogados/19-metas-do-trimestre.xlsx e 20-resumo-do-mes.xlsx; equivalentes 19/20 do 04	Indicadores!F5:Q16 nos relatórios 01/02; Metas!E5:G24; Indicadores dos resumos 20	Percentuais são armazenados em pontos, como 75,2, com unidade separada, em vez de fração formatada, como 0,752	Colar uma porcentagem normal de outra planilha muda a escala em 100 vezes e contradiz o padrão dos demais arquivos	Padronizar frações e formato percentual; enquanto houver pontos percentuais, declarar e validar explicitamente a escala de entrada
MÉDIO	03-advogados/20-resumo-do-mes.xlsx; 04-medicos/20-resumo-do-mes.xlsx	Painel!O5:P16,T5:U16; Resumo!A22:A24	Rankings comparam diretamente diferenças em pontos percentuais com variações relativas em fração; no médico, −6,3 p.p. vence numericamente variações muito maiores em percentual	Maior melhora, maior piora e distância da meta comparam grandezas incompatíveis	Definir uma métrica comum ou separar rankings por unidade
MÉDIO	04-medicos/20-resumo-do-mes.xlsx	Resumo!A22; Indicadores!E16	Aumento de orçamentos ainda em aberto é anunciado como maior melhora, embora o painel geral trate esse estoque como informativo	Mais propostas pendentes não comprova melhora comercial	Permitir indicador neutro nos destaques e usar aprovações/conversão para avaliar melhora
MÉDIO	04-medicos/01-agenda-e-ocupacao.xlsx; 04-medicos/02-faltas-e-retornos.xlsx	Agenda!A1022:A1243; Config!B5:B9	TODAY()+n desloca compromissos por dias corridos sem preservar os dias dos turnos; o histórico e o mês do painel continuam em setembro/2026	Em 17/12/2026 a agenda futura está em dezembro, mas o painel mensal continua setembro com ocupação 30,9%; em 2027, ano, feriados e histórico continuam 2026	Fixar uma data-base de demonstração ou deslocar calendário, ano, mês, turnos e feriados de forma conjunta
MÉDIO	03-advogados/07-proposta-de-honorarios.xlsx	Registro!B9; Proposta!E4	A data da proposta e a data registrada no exemplo usam TODAY()	Reabrir a proposta altera a data e o cronograma; o registro não preserva a emissão original	Congelar datas como valores ao emitir/registrar; manter data relativa somente na demonstração claramente identificada
MÉDIO	03-advogados/12-reserva-e-metas-de-caixa.xlsx; 04-medicos/12-reserva-e-metas-de-caixa.xlsx; metas 19 dos dois kits	Config!D26:D28 nas reservas; Config do trimestre nas 19	Prazos de 30/09 e 31/12/2026 e trimestre fixo convivem com referência móvel TODAY()	Em dezembro a meta de setembro fica vencida; em 2027 o trimestre continua 2026; não há renovação automática do exemplo	Instruir a abertura de novo período e marcar o exemplo como histórico, ou regenerar datas e metas coerentemente
GRAVE	03-advogados/05-custo-hora.xlsx	Como usar!B8	Manda usar a hora mínima nas planilhas 06 e 08, cujas entradas pedem custo-hora	Levar R$ 106,57 ou R$ 110 no lugar de R$ 66,07 reaplica margem e imposto e distorce honorários	Indicar explicitamente o custo-hora de Painel!B13 como entrada; reservar a hora mínima para comparação de preço
GRAVE	03-advogados/01-agenda-de-prazos.xlsx; 03-advogados/03-rotina-da-semana.xlsx	Como usar!B8; Rotina!B5	A rotina manda resolver ou reagendar os atrasados sem separar tarefa interna de prazo processual	Pode induzir a trocar na planilha um prazo legal vencido; a ressalva genérica de responsabilidade não torna o reagendamento válido	Restringir reagendamento a atividades administrativas; prazo processual deve ser conferido na fonte e tratado pelo responsável, preservando data original e ocorrência
GRAVE	04-medicos/09-caixa-da-clinica.xlsx; 04-medicos/16-conciliacao-de-cartao.xlsx	Painel!A52; Config!A42 na 09; Como usar!B10 e Vendas!A6:L6 na 16	PIOR ACHADO: manda registrar cartão como caixa pago no dia da venda; Otávio paga R$ 380 em 02/06, mas a própria conciliação prevê R$ 367,84 apenas em 02/07, sem antecipação	Caixa disponível, reserva, distribuição e decisões de pagamento se apoiam em dinheiro que ainda não entrou	Registrar recebimento na liquidação de cada parcela; reconciliar bruto, taxa e líquido sem duplicidade e regenerar 09, 10, 11, 12, 17, 18 e 20
MÉDIO	04-medicos/02-faltas-e-retornos.xlsx	Como usar!B6,B8	Diz que marcar o retorno na 01 retira o paciente da lista sozinho, mas os arquivos são independentes e a 02 só muda após nova colagem	A recepção pode continuar contatando quem já agendou	Explicar que a saída ocorre após atualizar a cópia da Agenda na 02
MÉDIO	04-medicos/06-precificacao.xlsx; 04-medicos/07-simulador-convenio-x-particular.xlsx; 04-medicos/08-tabela-de-precos.xlsx	Precificação!F5; Simulador!B13; Tabela!F9	O custo inclui o tempo esperado de retorno, mas não há parcela explícita de material do retorno; falta dizer se os R$ 4 já a incluem	Hipótese adotada: material é por atendimento, pois o retorno tem R$ 2 próprios; nesse caso o custo fica R$ 0,80 abaixo do correto	Confirmar a definição e, se o material não estiver incluído, somar 40% × R$ 2; documentar a premissa
MÉDIO	04-medicos/07-simulador-convenio-x-particular.xlsx	Simulador!B14,L19:M24	Líquido por hora, já após imposto, é comparado à hora mínima de venda, que embute imposto e margem	Um preço que cumpre a margem da precificação pode aparecer abaixo da referência no simulador	Comparar valores na mesma base, bruta com bruta ou líquida com líquida, incluindo o material de forma consistente
MÉDIO	02-completo/06-metas-do-trimestre.xlsx; referencia/oferta-02-completo.md	Abas!Semanas	A oferta promete acompanhamento mensal, mas o arquivo entrega acompanhamento semanal sem aba mensal	A funcionalidade anunciada não está disponível	Entregar o quadro mensal ou ajustar a promessa
MÉDIO	02-completo/07-orcamento-previsto-x-realizado.xlsx; referencia/oferta-02-completo.md	Realizado!A4:H4	A oferta cita categoria/centro, mas não há dimensão própria de centro de custo	O cliente não consegue cruzar categoria com centro como a descrição sugere	Acrescentar centro de custo e filtros ou especificar que a análise é somente por categoria
MÉDIO	02-completo/08-funil-de-propostas.xlsx; referencia/oferta-02-completo.md	Painel!A9:I18	A oferta promete taxa de conversão por etapa; o arquivo mostra estoque por etapa e conversão geral/por origem, sem histórico das transições	Contagem atual em cada etapa não informa quantos avançaram dela	Registrar passagens entre etapas e calcular conversões, ou ajustar a oferta para distribuição por etapa
MÉDIO	02-completo/10-base-limpa.xlsx; referencia/oferta-02-completo.md	Resumo!A4:E27	A tabela dinâmica pronta anunciada é um resumo por fórmulas; nenhum dos 53 arquivos contém parte pivotTable no ZIP	O cliente não recebe a tabela dinâmica que a oferta e a aula citam	Entregar uma tabela dinâmica real com atualização demonstrada ou corrigir oferta e aula
MÉDIO	01-essencial/01,02,03; 02-completo/01,02,03,06,09,10	XML!fórmulas sem cache	Nove arquivos não têm valores calculados armazenados para suas fórmulas	Pré-visualizadores podem abrir painéis vazios; não é prova de falha no Excel com cálculo automático	Gerar cache calculado preservando o XML e validar abertura/reabertura em cálculo automático e manual
MÉDIO	03-advogados/20-resumo-do-mes.xlsx; 03-advogados/12-reserva-e-metas-de-caixa.xlsx	Resumo!A28; Painel!G7	Os resultados textuais gravados no cache usam separadores americanos, como R$ 26,900 e R$ 28,281	A prévia sem recálculo contradiz o locale prometido; o resultado após recálculo no Excel pt-BR permanece sem verificação	Gerar caches pt-BR e testar FIXED/TEXT no Excel pt-BR, no Google com locale Brasil e na exportação do texto
LEVE	04-medicos/12-reserva-e-metas-de-caixa.xlsx	Como usar!B7; Painel!I5	O texto fala em 24 meses, mas a projeção foi ampliada para 30 e o exemplo chega em 26 aportes	O limite descrito não corresponde à tela	Atualizar instrução e mensagem de esgotamento da projeção
LEVE	04-medicos/17-painel-da-clinica.xlsx	Config!A12	O texto informa 12 indicadores, mas Dados tem 15	A instrução não corresponde à quantidade entregue	Atualizar o número ou derivá-lo da tabela
LEVE	02-completo/06-metas-do-trimestre.xlsx; 03-advogados/19-metas-do-trimestre.xlsx; 04-medicos/19-metas-do-trimestre.xlsx	Metas!E6:G6 no 02; E6:G7,E12:G12 no 03; E10:G10,E12:G13 no 04	Valores em reais usam formato General; nos relatórios 01/02 e resumos 20, entradas monetárias usam formato numérico comum com unidade em outra coluna	A unidade depende do cabeçalho e não acompanha o valor copiado, contrariando a convenção de moeda	Aplicar formato BRL nas linhas monetárias e preservar o valor numérico
MÉDIO	referencia/numeros-03-advogados.md; 03-advogados/07-proposta-de-honorarios.xlsx	seção 9; Proposta!D20:E20	A referência registra Total com None e R$ 0, mas a proposta calcula 53 horas e R$ 4.500	O documento que deveria arbitrar os números está incorreto nesse ponto	Corrigir a extração da referência; para este julgamento adotei as linhas da proposta como fonte
GRAVE	01-essencial — R$ 37	Veredicto!1	NÃO venderia hoje	Saldo de caixa errado, razões somadas como totais e empresa de exemplo inconsistente	Corrigir esses bloqueadores e validar os três arquivos no Excel 2016 e no Google Planilhas antes do anúncio
GRAVE	02-completo — R$ 197	Veredicto!2	NÃO venderia hoje	Repete os problemas do Essencial, usa funções incompatíveis e deixa a base de dados sem proteção	Corrigir os cálculos, a compatibilidade, a proteção e as diferenças entre oferta e entrega antes de vender
GRAVE	03-advogados — R$ 497	Veredicto!3	NÃO venderia hoje	Há cobrança excedente, preço aprovado abaixo da margem prometida e instrução ambígua sobre reagendar prazo	Reconciliar contratos/parcelas, corrigir preço e instruções e fechar a validação nativa
GRAVE	04-medicos — R$ 697	Veredicto!4	NÃO venderia hoje	Caixa reconhece cartão antes da liquidação, conciliação lista a coluna errada e seleção da base de repasse é ignorada	Corrigir o fluxo financeiro e regenerar os exemplos dependentes antes da validação nativa
MÉDIO	Todos os 53 arquivos	Cobertura!método	Auditoria feita com openpyxl, leitura direta do ZIP/XML e aritmética independente; não abri Excel nem Google Planilhas e não executei um novo recálculo integral em LibreOffice	Zero erro em cache não confirma funcionamento ou aparência nesses aplicativos	Seguir a ordem nativa abaixo em cópias; nenhuma planilha original foi gravada ou corrigida
MÉDIO	02-completo/04-projetos-e-prazos.xlsx; 05-ata-e-pendencias.xlsx; 10-base-limpa.xlsx	Excel real!ordem 1	Sem verificação de abertura sem reparo, funções _xlfn e cálculo dos próximos/últimos prazos e resumo da ata	Excel 2016 perpétuo pode esconder erro de função dentro de IFERROR; abrir em Microsoft 365 não fecha essa compatibilidade	Primeiro, abrir os três no Excel 2016 pt-BR, ativar cálculo automático e recalcular tudo com Ctrl+Alt+F9; conferir E38:E47, F28:F39, A33 e E20:E27; salvar cópia e reabrir; repetir depois de regenerar as fórmulas
MÉDIO	01-essencial/03-ganhos-e-gastos.xlsx; 04-medicos/16-conciliacao-de-cartao.xlsx; 03-advogados/06-simulador-de-honorarios.xlsx; 04-medicos/02-faltas-e-retornos.xlsx	Excel real!ordem 2	Os contraprovas foram calculadas independentemente, sem execução nativa de cada cenário	Faltam confirmação do resultado renderizado e interação dos campos	Conferir Pago? Sim/Não no caixa; cartões parcelados, antecipação e duas vendas empatadas; honorário por hora = R$ 110; paciente com duas e três faltas; comparar com os valores e defeitos registrados neste diagnóstico
MÉDIO	02-completo/10-base-limpa.xlsx; 01-essencial/01-semana-organizada.xlsx; 04-medicos/01-agenda-e-ocupacao.xlsx; 04-medicos/02-faltas-e-retornos.xlsx	Excel real!ordem 3	Sem ensaio nativo de proteção, lista suspensa, filtro, ordenação, colagem em mesclas e entrada na última linha	Flags de XML não mostram se o fluxo real deixa colar dados sem danificar cálculos ou se bloqueia uma rotina necessária	Em cópias, digitar em amarelo; tentar apagar fórmula; testar pessoa/status inválido; filtrar/ordenar; colar A:K da Agenda da 01 na 02; testar primeira e última linha de entrada; repetir após salvar e reabrir
MÉDIO	03-advogados/17-painel-do-escritorio.xlsx; 04-medicos/17-painel-da-clinica.xlsx; 01-essencial/02-relatorio-mensal-pronto.xlsx; 04-medicos/07-simulador-convenio-x-particular.xlsx	Excel e Google reais!ordem 4	Sem renderização nativa de semáforos, prioridades sobrepostas, gráficos, quebras de linha, mesclas, fontes, impressão e exportação	Não posso certificar ausência de cortes, ####, gráficos vazios, cores perdidas ou formato numérico incorreto	Conferir metas de receita e despesa abaixo/iguais/acima do alvo, dados vazios e zeros; verificar os quatro gráficos representativos e exportar os resumos; depois fazer varredura visual de abertura dos demais arquivos
MÉDIO	Os 53 arquivos, com prioridade nos 19 com CF entre abas e nos 79 usos de OFFSET em validação	Google Planilhas real!ordem 5	Não houve importação/conversão para formato Google; permanece sem verificação a tradução de _xlfn, fórmulas, proteções, 274 validações, 470 regras e gráficos	Suporte nominal à função não garante preservação do XLSX; referências de outras abas em listas são permitidas, mas a conversão das fontes por OFFSET não foi demonstrada	Converter os três arquivos com _xlfn e os quatro da ordem 4 primeiro; testar cada família de validação (literal, intervalo de outra aba, OFFSET), lista após inclusão/exclusão e bloqueio de inválidos; em seguida conferir contagens por arquivo contra o inventário
