Nada | seu-socio-gestor-auditoria-3.zip | Escopo!18/09/2026 | 53 XLSX abertos e inspecionados: 234 abas, 162.716 fórmulas, 276 validações e 470 regras condicionais. TRIAGEM-COMPLETA.md, LEIA-ME.md, INVENTARIO.md e referências lidos. Comparação com o pacote e o parecer anteriores. | Diagnóstico sem alterar qualquer XLSX; hashes dos 53 originais conferidos ao final. | Este relatório contém correções G-1 a G-32, regressões, 12 contas novas, contratos, veredictos, testes nativos e inventários. Nada significa ausência de achado naquele teste, não certificação universal.
Nada | 04-medicos/01-agenda-e-ocupacao.xlsx; 04-medicos/17-painel-da-clinica.xlsx | Agenda!R5:R3004; Config!B9; Painel!A5:E5 | Parte 1 · G-16 · RESOLVIDO. R exige data<=Config!B9; B9=13/09/2026. 3.110 min/60=51,833333 h e capacidade=64 h: 80,9895833%; na 17, Dados!B5=0,8099 (arredondamento). Realizado inserido em 14/09 não entra em R e não altera os dois lados da ocupação. | Não há vínculo externo; somas internas de R herdam o corte. Contagem de realizados e produção ainda usam o mês inteiro, o que exige esclarecer o escopo do painel, achado separado. | Nada para a simetria da ocupação.

Nada | 04-medicos/02-faltas-e-retornos.xlsx | Agenda!V5:V3004 | Parte 1 · G-17 · RESOLVIDO. Pontuação=faltas×1000+(3005−ROW())/100000, somente na primeira ocorrência. Teste aritmético na linha 2900: 2 faltas=2000,00105; 3=3000,00105; INT(pontuação/1000)=2 e 3. Duplicatas posteriores recebem 0. | Duas faltas passam >=2000. O desempate positivo é menor que 1, portanto não altera a contagem inteira; carregamento dessa planilha no motor alternativo excedeu memória, sem evidência de falha do arquivo. | Nada; confirmar o ranking visual de duas/três faltas no Excel.

GRAVE | 04-medicos/11-repasse-e-pro-labore.xlsx | Config!C25; Repasse!G12,O12; Painel!C9 | Parte 1 · G-18 · NÃO RESOLVIDO. O recebeu o título "Recebido no mês" e cor amarela, mas permanece oculta e com =IF(A12="","",MATCH(A12,Config!$H$5:$H$16,0)), que vale 8. Ao trocar o acordo, G12=ROUND(N(O12)*F12,0)=8×50%=R$ 4, contra R$ 5.190 pela produção. Digitar 10.000 em O12 dá repasse 5.000, mas elimina agosto do painel, que ainda usa O como número do mês. | A entrada legítima destrói a chave mensal e produz repasse errado; é a pior regressão encontrada. | Separar coluna visível de recebido e coluna auxiliar de mês; bloquear e ocultar somente a auxiliar; atualizar todas as SUMIFS dependentes e testar mês/ano após digitação.

GRAVE | 04-medicos/16-conciliacao-de-cartao.xlsx | Vendas!S112:S113; Painel!A56:G65 | Parte 1 · G-19 · NÃO RESOLVIDO. O ranking passou de O para S e as dez linhas do exemplo não se repetem, mas o desempate não é único. S=dias×1000+bruto/1000+ROW()/100000. Duas vendas com liquidação há 3 dias: linha 112, bruto 380 → 3000+0,38+0,00112=3000,38112; linha 113, bruto 379,99 → 3000+0,37999+0,00113=3000,38112. | LARGE devolve a mesma chave nas duas posições e MATCH(...,0) devolve a primeira venda duas vezes, omitindo a outra. A coincidência foi reproduzida aritmeticamente; o caso fácil do exemplo não prova unicidade. | Gerar ordem inteira por critérios e desempatar por identificador/linha sem misturar grandezas decimais que podem se anular; testar preços diferentes por um centavo e mesma data.

GRAVE | 04-medicos/16-conciliacao-de-cartao.xlsx | Vendas!K11:O11,V11:W11 | Parte 1 · G-20 · NÃO RESOLVIDO. Antecipação Sim, venda 10/09, bruto 380 e 2 parcelas: taxa=3,9%+2×1,8%=7,5%; líquido=351,50. L/M mostram 11/09, mas K=351,50/2=175,75; em 14/09 N=175,75 e O=175,75. V continua 2. | As datas aparentam antecipação integral, mas metade continua futura e a conciliação espera duas parcelas. | No regime integral usar uma liquidação financeira efetiva: parcela líquida=351,50; previsto até 14/09=351,50; futuro=0; uma conferência. Manter n comercial apenas para calcular a taxa quando aplicável.

GRAVE | 04-medicos/16-conciliacao-de-cartao.xlsx | Vendas!G5:G2004,R5:R2004 | Parte 1 · G-21 · NÃO RESOLVIDO. R já compara N(G) com parcelas vencidas e retorna A conferir quando a segunda vence. Porém a validação de G continua lista "Sim,Não"; 256 números preexistentes infringem a regra. Selecionar o texto permitido Sim faz N("Sim")=0 e mantém A conferir; digitar 1 ou 2 é rejeitado pela regra. | O cliente não consegue registrar corretamente a conferência na nova coluna numérica. | Trocar por inteiro de 0 até a quantidade de liquidações efetivas, compatível com antecipação; testar digitação e colagem nativas.

Nada | 02-completo/04-projetos-e-prazos.xlsx; 02-completo/05-ata-e-pendencias.xlsx; 02-completo/10-base-limpa.xlsx | Painel!E38:E41; 05/Em aberto!F28:F31; 10/Resumo!E42:E71 | Parte 1 · G-22 · RESOLVIDO. Zero _xlfn e zero MINIFS/MAXIFS/TEXTJOIN/IFS/SWITCH/CONCAT/XLOOKUP/FILTER/SORT/UNIQUE/SEQUENCE nas 162.716 fórmulas e XML. MIN com sentinela e guardas devolve, na 04: Ana 19/09, Bruno 19/09, Carla 05/09, Diego 03/10; na 05: 11/09,16/09,12/09,18/09. Sem responsável/sem fim/concluído: vazio; uma aberta em 27/06: 27/06. MAX na 10: Loja Verde 05/09; sem registro ou sem data: vazio. | Aritmética das substituições e caches coincidem. Na 05, H11:H30 recompõe exatamente cinco pendências, retira os três caracteres finais e não sobra separador; sem itens, A33 termina em "Pendências: nenhuma". | Nada na lógica encontrada; confirmar a avaliação matricial pelo Excel 2016 sem Ctrl+Shift+Enter.

Nada | 02-completo/10-base-limpa.xlsx | Todas as abas!proteção | Parte 1 · G-23 · RESOLVIDO. As cinco abas estão protegidas. As 9.000 células amarelas da Base permanecem desbloqueadas e as 4.602 fórmulas do arquivo estão bloqueadas. | No XML não há fórmula editável na Base Limpa; comportamento de colar/ordenar/inserir deve ser exercitado no Excel. | Nada

Nada | 01-essencial/03-ganhos-e-gastos.xlsx; 02-completo/03-ganhos-e-gastos.xlsx; referencia/oferta-02-completo.md | Como usar!B13 | Parte 1 · G-24 · RESOLVIDO. O texto distingue explicitamente Rafa Design, autônomo/negócio de uma pessoa, de Prisma Comunicação nas ferramentas de empresa; a cópia do Completo e a oferta também explicam a exceção. | Aceito a decisão: não exijo unificar as duas empresas. O uso pessoal continua demonstrado sem aparentar que todos os arquivos compartilham o mesmo caixa. | Manter a distinção visível e conferir cada exemplo separadamente. Isso não resolve G-25, que compara duas planilhas da própria Prisma.

GRAVE | 02-completo/02-relatorio-mensal-pronto.xlsx; 02-completo/07-orcamento-previsto-x-realizado.xlsx | Indicadores!N5:N7; 07/Painel!C5,G5,I5 | Parte 1 · G-25 · NÃO RESOLVIDO. O G-25 foi omitido da tabela de correções. Em setembro/2026, Prisma no relatório tem receita 131.200, despesas 89.800 e resultado 41.400; no orçamento os lançamentos somam 95.559,34, 81.387,49 e 14.171,85. Diferença de resultado=27.228,15. | Mesmo nome e mês contam duas histórias incompatíveis dentro do exemplo empresarial; não é a exceção Rafa Design. | Escolher uma base mensal única, regenerar indicadores/orçamento e checar por empresa, ano, mês e definição de receita/despesa.

Nada | 03-advogados/14-parcelas-e-inadimplencia.xlsx | Parcelas!E150:E153; Casos!D40:J40; 13/Casos | Parte 1 · G-26 · RESOLVIDO. Fernanda: 2.800+1.400+1.400+1.400=7.000; pago=7.000; aberto=atrasado=0. Conferi também os outros 28 fixos/mistos: 21 fixos iguais ao contrato; 8 mistos entre o componente fixo documentado e o total contratado. Todos passam; tabela individual no anexo. | Recebidos totais da carteira e das parcelas=271.910; carteira contratada=383.900 e saldo=111.990. Inadimplência corrigida=13.080/(271.910+13.080)=4,58963472%, sete parcelas. Carteira inclui valores condicionados que não têm de coincidir com o cronograma exigível. | Nada; preservar as conferências por identificador do caso.

Nada | 03-advogados/20-resumo-do-mes.xlsx | Resumo!A6 | Parte 1 · G-27 · RESOLVIDO. Texto agora enumera três propostas de agosto: Escola Aurora em 03/08, Loja Verde em 11/08 e Marcos Vinícius em 19/08. Construtora Horizonte fechou em julho e saiu da contagem. | Contagem 1+1+1=3 coincide com as datas da planilha 15. | Nada

Nada | 03-advogados/12-reserva-e-metas-de-caixa.xlsx | Como usar!B10; Painel!G7 | Parte 1 · G-28 · RESOLVIDO. O número antigo 26.062 saiu das instruções do Advogados. G7 usa FIXED(Config!$B$21,0): caixa livre=43.683−15.402=28.281; cobertura=(12.000+28.281)/18.500=2,17735135 meses, apresentada como 2,2. | Texto passou a acompanhar a referência efetiva do painel. | Nada nesse arquivo.

GRAVE | 04-medicos/12-reserva-e-metas-de-caixa.xlsx | Config!D13; Como usar!B10 | Parte 1 · G-29 · NÃO RESOLVIDO. D13 ainda manda usar julho=31.591, embora B14=34.409; B10 ainda cita caixa livre 26.062 e 2,1 meses, contra Painel!G7=12.003 e 0,8. Meta atual=(29.500+34.409+28.000)=91.909; seguindo D13 ela cairia a 89.091, diferença de 2.818. | A instrução de dinheiro continua produzindo outra meta e a narrativa superestima a cobertura do caixa. | Remover os números antigos também de Config e da nota de locale; apontar para as células atuais e testar todas as narrativas após regenerar dados.

Nada | 03-advogados/05-custo-hora.xlsx | Como usar!B8 | Parte 1 · G-30 · RESOLVIDO. A instrução passou a mandar copiar o custo-hora do Painel!B13 para 06 e 08. Valor correto=(6.500+12.000)/280=66,07142857; hora mínima 106,56682028 e sugestão 110 servem para comparação. | Evita aplicar imposto/margem duas vezes ao copiar 110 como custo. | Nada

Nada | 03-advogados/01-agenda-de-prazos.xlsx; 03-advogados/03-rotina-da-semana.xlsx | Como usar!B8; 03/Rotina!B5 | Parte 1 · G-31 · RESOLVIDO. Os textos distinguem prazo processual de tarefa administrativa: conferir a fonte oficial, encaminhar ao responsável e preservar a data original; somente tarefa administrativa é remarcada. | A orientação antiga de simplesmente reagendar prazo legal foi retirada das duas planilhas. | Nada na correção textual examinada; não constitui validação jurídica de anúncios/documentos fora do pacote.

Nada | 04-medicos/09-caixa-da-clinica.xlsx | Lançamentos!A5:K1504; Painel!G5 | Parte 1 · G-32 · RESOLVIDO no cenário verificável. Reconstituí 298 vendas elegíveis da agenda com taxas da 16: débito D+1, crédito D+30 e parcelas a cada 30 dias. Agosto: Pix 13.380+débito 7.960+crédito 16.670=38.010; taxa das liquidações=681,61. Saldo total: 26.000+345.917−333.311,19=38.605,81, igual à 17. Setembro futuro=5.405; outubro=7.405; novembro=1.160; total ainda não recebido=13.970. Nenhuma dessas entradas está marcada paga antes de vencer. | A agenda começa em junho: não dá para provar as vendas de origem de janeiro a maio nem os R$ 11.720 de créditos liquidados em junho e R$ 1.320 adicionais em julho. A cobertura completa pelo histórico visível começa em 31/07, com zero diferença diária até 11/09. Hipótese explícita: os recebíveis anteriores a junho são válidos. | Para prova integral, fornecer a agenda histórica usada pelo gerador, taxas e saldos de abertura. A instrução que manda copiar a taxa de vendas da 16 ainda está errada, achado separado.

GRAVE | 04-medicos/16-conciliacao-de-cartao.xlsx | Vendas!T112,T119,T121,T123,T124; Painel!K5 | Parte 2 · REGRESSÃO: T=IF(R="A conferir",N(N),0) soma todo o liquidado, inclusive parcelas já conferidas. As cinco linhas repetem 365,18/2+365,18/2+384,40/2+384,40/2+288,30/2=893,73. Painel=5.652,71; pendência real=4.758,98. | O cliente confere novamente dinheiro já conciliado e recebe um total de pendências inflado. | Somar somente parcelas vencidas ainda não conferidas; tratar arredondamento da última parcela e antecipação integral.

GRAVE | 04-medicos/16-conciliacao-de-cartao.xlsx | Painel!A7; Como usar!B7:B8 | Parte 2 · Instrução antiga: A7 usa C5 e manda lançar no caixa o total de taxas das vendas do mês. Agosto C5=484,12, mas liquidações do mês exigem 681,61; a própria nota atual de integração já descreve a regra nova. | Seguir a tela principal omite R$ 197,49 de despesa e recria saldo inflado. | Criar total de taxas por data de liquidação e apontar todas as instruções para ele; não usar C5 para fechamento do caixa.

GRAVE | 03-advogados/06-simulador-de-honorarios.xlsx | Simulador!B15,I53,K53 | Parte 3 · BORDA NOVA: zerar as horas B19:B28 e manter despesas absorvidas 450 ativa a alternativa B11/(1−imposto−margem)=106,5667742. Com hora 180, receita=0, custo=450 e prejuízo=−450, mas I53=Baixo e K53 afirma cobertura de custo e margem. | O simulador aprova financeiramente um caso sem estimativa de trabalho e com prejuízo certo no próprio cálculo. | Antes de classificar risco ou recomendar modalidade, exigir horas positivas quando houver custo/despesa; com dados incompletos mostrar pendência, não Baixo.

MÉDIO | 04-medicos/09-caixa-da-clinica.xlsx | Lançamentos!D5:D1504; Config!J5:J34 | Parte 2 · Validação ficou restritiva demais: Paciente ou convênio só permite Saúde Total, MediPlan, Vida Care e Dra. Renata Sousa; 159 lançamentos do próprio exemplo usam pacientes fora dessa lista, como D68=Fábio Gomes. | A digitação legítima do nome do paciente passa a ser bloqueada. | Separar paciente de pagador ou usar cadastro que contenha todos os pacientes e convênios, com capacidade compatível com o produto.

MÉDIO | 03-advogados/15-funil-de-propostas.xlsx | Propostas!C23; Config!I18:I27 | Parte 2 · C23 contém Discussão de contrato de prestação de serviços, ausente na lista bloqueante de dez serviços. | O cliente não consegue redigitar o exemplo e fica sem opção adequada para serviço legítimo. | Alinhar o exemplo ao catálogo e permitir manutenção suficiente desse cadastro; não apenas ligar o bloqueio.

MÉDIO | 01-essencial/01; 02-completo/01,04,05,06,08,10; 03-advogados/07 | Config!B4/B5/B8; Tarefas!E4:E23; Checklist!B8; Proposta!E4; Registro!L9:L108 | Parte 1 · Data-base NÃO RESOLVIDA: há 146 células e 246 chamadas TODAY() em oito arquivos. Não é zero. As datas de tarefa dos kits antigos andam com o sistema, enquanto o histórico e a maior parte dos arquivos ficam em 14/09/2026. | Em 2027 o exemplo mistura tarefas atuais, fechamento de 2026, propostas vencidas e painéis congelados; não há uma data-base única. | Gravar 14/09/2026 em todas as referências do exemplo e fazer prazos relativos apontarem para essa célula, não para TODAY direto. Ao iniciar uso real, atualizar ano, mês, trimestre, feriados e data-base, não somente trocar por HOJE().

MÉDIO | 01-essencial/02-relatorio-mensal-pronto.xlsx; 02-completo/02-relatorio-mensal-pronto.xlsx | Resumo!A6; Painel!C5:D5 | Parte 3 · Base zero continua sem frase própria nos relatórios antigos. Com Indicadores!M5=0 e N5=131.200, D5 retorna texto vazio, mas A6 tenta FIXED(D5*100,0) porque C5 contém zero numérico; a conta não tem base percentual válida. | O relatório tenta formatar uma variação inexistente em vez de informar que o mês anterior foi zero. O motor alternativo não foi confiável para certificar aqui o texto final no Excel. | Aplicar a distinção já feita nas planilhas 20: anterior vazio, anterior zero e variação calculável; testar a saída nativamente.

MÉDIO | 01-essencial/02-relatorio-mensal-pronto.xlsx; 02-completo/02-relatorio-mensal-pronto.xlsx | Como usar!B4 | Parte 2 · A instrução ainda define acumulado como soma; média para % e pts, apesar de agora a coluna T permitir Soma/Média e de ticket/CPL em R$ estarem em Média. | O comprador configura a agregação pela regra antiga e pode voltar a somar razões. | Explicar a coluna Como acumular por indicador, incluindo que Média ignora meses vazios e inclui zero informado.

MÉDIO | 03-advogados/06-simulador-de-honorarios.xlsx | Simulador!C11,C45 | Parte 2 · C11 ainda diz que a hora mínima é a mesma da planilha 05; com R$ 450 absorvidos, 05=106,57 e este caso=120,26. C45 chama a modalidade por hora de risco baixo sem depender do preço. | A descrição contradiz o alerta e o cálculo corrigidos. | Explicar a diferença entre custo geral e custo do caso; condicionar o risco à comparação de preço, custos e margem.

MÉDIO | 02-completo/06-metas-do-trimestre.xlsx | Meses!F5:F13 | Parte 2 · O ganho usa IF(OR(...,C5="",E5=""),"",E5−Metas!E5). Se o mês 1 estiver vazio e mês 3 tiver 24, com ponto de partida 0, F7 fica vazio em vez de 24. | O resumo novo omite um ganho calculável ao iniciar o acompanhamento no segundo/terceiro mês. | Exigir apenas ponto de partida e último valor necessário para a definição de ganho; não exigir o mês 1 intermediário.

LEVE | 01-essencial/03-ganhos-e-gastos.xlsx; 02-completo/03-ganhos-e-gastos.xlsx | Painel!I4:J5 | Parte 2 · O cartão A receber (não recebido) ficou em I:J, ambas largura 4, sem quebra de texto nem redução. Na renderização de 1.354 px o rótulo é cortado para A receber (n...; um valor de quatro dígitos não cabe confortavelmente. | A distinção entre recebido e pendente não fica legível. Cabe no recorte horizontal testado, mas a legibilidade não foi preservada. | Dimensionar os dois cartões novos, permitir quebra de linha e verificar janela de 1.366 px/zoom usual. Não há área de impressão definida; confirmar paginação nativa.

MÉDIO | 04-medicos/01-agenda-e-ocupacao.xlsx | Painel!B44:D44; Agenda!R3000 | Parte 2 · Horas por procedimento usam R com corte até ontem, mas quantidade e produção incluem realizados de todo o mês. Inserir consulta Particular de R$ 380 em 14/09 aumenta a produção de 20.045 para 20.425, mantendo 51,833333 h. | As colunas lado a lado deixam de descrever o mesmo conjunto de atendimentos. O valor médio E44 é produção/quantidade, então não encontrei nele uma divisão indevida por essas horas. | Separar quadro de ocupação até ontem e quadro de produção mensal, ou alinhar o corte e explicitar o período de cada um.

MÉDIO | 03-advogados/16-horas-por-caso.xlsx | Painel!A31:G32; Config!A20:A21 | Parte 3 · O resumo por pessoa ainda tem espaço para dez cadastros, mas as linhas 31/32 são sobrescritas pelo quadro de casos. | O 9º e o 10º profissional cadastrado não recebem o mesmo resumo dos anteriores. | Deslocar o quadro seguinte ou construir a lista a partir do tamanho máximo do cadastro; testar os dez nomes.

